24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"Lamar Blvd North, 100 blk - North side of the Bridge",22194,19148,,,41342,01/31/2011 12:00:00 AM
"Lamar Blvd North, 100 blk - North side of the Bridge",25199,20740,,,45939,04/08/2009 12:00:00 AM
"Lamar Blvd North, 1000 blk - North of W. 10th St",16957,16224,,,33181,04/01/2003 12:00:00 AM
"Lamar Blvd North, 10600 blk - South of McPhaul",13645,13149,,,26794,02/25/2010 12:00:00 AM
"Lamar Blvd North, 10600 blk - South of McPhaul",13540,13390,,,26930,02/18/2009 12:00:00 AM
"Lamar Blvd North, 12500 blk - @ Walmart Drwy",5613,7784,,,13397,02/18/2015 12:00:00 AM
"Lamar Blvd North, 1400 blk - South of W. 15th St Overpass",17342,14919,,,32261,04/02/2001 12:00:00 AM
"Lamar Blvd North, 1700 blk - South of M.L.K. Jr. Blvd",17300,16572,,,33872,04/01/2003 12:00:00 AM
"Lamar Blvd North, 2100 blk - North of M.L.K. Jr. Blvd",19011,16241,,,35252,09/17/2002 12:00:00 AM
"Lamar Blvd North, 2300 blk - South of W. 24th St",19745,17174,,,36919,04/01/2003 12:00:00 AM
"Lamar Blvd North, 2400 blk - South of Shoal Creek Blvd West",14550,14021,,,28571,05/13/2014 12:00:00 AM
"Lamar Blvd North, 2500 blk - North of W. 24th St",15675,15849,,,31524,04/01/2003 12:00:00 AM
"Lamar Blvd North, 2800 blk - North of San Gabriel St",13991,13822,,,27813,07/02/2014 12:00:00 AM
"Lamar Blvd North, 2800 blk - South of W.  29th St",14449,15134,,,29583,04/01/2003 12:00:00 AM
"Lamar Blvd North, 2800 blk - South of W. 29th St",14932,15425,,,30357,09/17/2002 12:00:00 AM
"Lamar Blvd North, 300 blk - South of W. 4th St",19664,19565,,,39229,04/01/2003 12:00:00 AM
"Lamar Blvd North, 3000 blk - South of W. 31st St",17282,16340,,,33622,02/26/2009 12:00:00 AM
"Lamar Blvd North, 3100 blk - South of W. 32ndd St",16571,16636,,,33207,01/26/2011 12:00:00 AM
"Lamar Blvd North, 3100 blk - South of West 32nd St",9635,11900,,,21535,03/25/2013 12:00:00 AM
"Lamar Blvd North, 3200 blk - North of W. 32nd St",16326,15686,,,32012,09/17/2002 12:00:00 AM
"Lamar Blvd North, 4000 blk - South of W. 41st St",14876,15287,,,30163,06/20/2005 12:00:00 AM
"Lamar Blvd North, 4200 blk - North of W. 42nd St",15694,16171,,,31865,09/17/2002 12:00:00 AM
"Lamar Blvd North, 4800 blk - South of Guadalupe/Lamar split",no count,11998,,,11998,04/16/2002 12:00:00 AM
"Larry Ln, 3200 blk - North of Manor Rd",111,95,,,206,03/29/2004 12:00:00 AM
"Lamar Blvd North, 4900 blk - North of Guadalupe/Lamar split",no count,17969,,,17969,04/16/2002 12:00:00 AM
"Lamar Blvd North, 500 blk - North of W. 5th St",18455,17730,,,36185,06/24/2002 12:00:00 AM
"Lamar Blvd North, 5400 blk - North of North Loop Blvd",14282,13761,,,28043,01/12/2010 12:00:00 AM
"Lamar Blvd North, 5400 blk - North of North Loop Blvd",17756,17265,,,35021,09/19/2001 12:00:00 AM
"Lamar Blvd North, 6400 blk - North of Lamar Place",15027,15378,,,30405,06/20/2005 12:00:00 AM
"Lamar Blvd North, 8200 blk - North of W. Powell Ln.",20138,18592,,,38730,11/21/2005 12:00:00 AM
"Lamar Blvd North, 8600 blk - South of Fairfield Dr",14576,15101,,,29677,07/22/2013 12:00:00 AM
"Lamar Blvd North, 9700 blk - South of W. Longspur Blvd",14182,18672,,,32854,11/29/2004 12:00:00 AM
"Lamar Blvd North, 9700 blk - South of West Longspur Blvd",16320,15097,,,31417,07/22/2013 12:00:00 AM
"Lamar Blvd South, 100 blk - North of Riverside Dr",26969,20985,,,47954,09/19/2001 12:00:00 AM
"Lamar Blvd South, 100 blk - South of Riverside Dr",23409,22868,,,46277,09/12/2008 12:00:00 AM
"Lamar Blvd South, 1500 blk - South of Cinco St",18134,17778,,,35912,06/21/2005 12:00:00 AM
"Lamar Blvd South, 1700 blk - North of W Oltorf St",18360,17681,,,36041,02/24/2009 12:00:00 AM
"Lamar Blvd South, 2200 blk - South of Kinney",17882,17371,,,35253,05/07/2013 12:00:00 AM
"Lamar Blvd South, 2600 blk - North of Manchaca Rd",20735,19482,,,40217,02/24/2009 12:00:00 AM
"Lamar Blvd South, 2600 blk - South of La Casa Dr",20017,18920,,,38937,06/20/2005 12:00:00 AM
"Lamar Blvd South, 2700 blk - North of Manchaca Rd",21701,20323,,,42024,07/24/2001 12:00:00 AM
"Lamar Blvd South, 300 blk - At Toomey Rd",14844,16976,,,31820,10/20/2014 12:00:00 AM
"Lamar Blvd South, 3400 blk - South of Westrock Dr",15296,14669,,,29965,06/20/2005 12:00:00 AM
"Lamar Blvd South, 3500 blk - North of Panther Trl",15812,15225,,,31037,02/24/2009 12:00:00 AM
"Lamar Blvd South, 800 blk - South of Barton Springs Rd",18628,17714,,,36342,02/24/2009 12:00:00 AM
"Lamar Square Dr, 1300 blk - West of the East leg",,,208,247,455,09/30/2013 12:00:00 AM
"Lamplight Village Ave, 12400 blk - North of Pipers Field Dr",3409,4777,,,8186,08/25/2003 12:00:00 AM
"Lamplight Village Ave, 12700 blk - South of Singletree Ave",2159,2324,,,4483,01/16/2008 12:00:00 AM
"Lamplight Village Ave, 12900 blk - North of Candlestick Pl",1406,1506,,,2912,01/16/2008 12:00:00 AM
"Lamplight Village Ave, 12900 blk - North of Candlestick Pl",1653,1861,,,3514,09/17/2007 12:00:00 AM
"Lamplight Village Ave, 13200 blk - North of Magazine St",1565,1470,,,3035,01/14/2008 12:00:00 AM
"Lamplight Village Ave, 13300 blk - South of Scofield Ridge Pkwy",1617,1641,,,3258,03/27/2007 12:00:00 AM
"Lamplight Village Ave, 13500 blk - North of Scofield Ridge Pkwy",73,58,,,131,03/27/2007 12:00:00 AM
"Lamppost Ln, 12600 blk - South of Carriage Park Ln",60,54,,,114,07/06/2010 12:00:00 AM
"Lancaster Ct, 5100 blk - North of E. 51st St",432,513,,,945,02/22/2010 12:00:00 AM
"Lancaster Ct, 5100 blk - North of E. 51st St",682,888,,,1570,09/07/2005 12:00:00 AM
"Lancaster Dr, 5000 blk - South of E. 51st St",6259,3422,,,9681,02/22/2010 12:00:00 AM
"Lanshire Dr, 10700 blk - North of Topperwein Dr",202,207,,,409,10/09/2008 12:00:00 AM
"Lansing Dr, 4900 blk - East of Enchanted Lane",,,506,527,1033,02/26/2013 12:00:00 AM
"Lansing Dr, 4900 blk - South of Enchanted Ln",605,536,,,1141,10/02/2007 12:00:00 AM
"Lansing Dr, 5000 blk - East of Majestic Dr",,,302,300,602,02/12/2008 12:00:00 AM
"Larkwood Dr, 1300 blk - East of Cameron Rd",,,203,194,397,01/29/2003 12:00:00 AM
"Larkwood Dr, 1500 blk - West of Berkman Dr",,,149,126,275,01/29/2003 12:00:00 AM
"Latigo Pass, 6300 blk - West of Milner Pass ",,,40,42,82,03/20/2011 12:00:00 AM
"Latta Dr, 7600 blk - North of Navarro Pl",2973,2830,,,5803,04/16/2007 12:00:00 AM
"Latta Dr, 8000 blk - North of San Simeon Dr",905,981,,,1886,04/16/2007 12:00:00 AM
"Latta Dr, 8300 blk - South of Alta Loma Dr",788,880,,,1668,04/16/2007 12:00:00 AM
"Latta Dr, 8600 blk - West of Muskdeer Dr    ",,,1211,1186,2397,11/02/2011 12:00:00 AM
"Lavaca St, 1200 blk - South of W. 13th St                         1-way NB",10723,n/a,,,10723,07/31/2007 12:00:00 AM
"Lavaca St, 1200 blk - South of W. 13th St                         1-way NB",16422,n/a,,,16422,06/08/2006 12:00:00 AM
"Lavaca St, 1200 blk - South of W. 13th St                         1-way NB",15233,n/a,,,15233,08/12/2003 12:00:00 AM
"Lavaca St, 1300 blk - South of West 14th St",10993,,,,10993,12/10/2013 12:00:00 AM
"Lawnmont Ave, 2300 blk - West of Shoal Mont",,,311,374,685,06/02/2009 12:00:00 AM
"Lazy Ln, 7700 blk - South of W. Anderson Ln",56,63,,,119,11/13/2007 12:00:00 AM
"Lazy Ln, 8000 blk - North of Dale Dr",552,574,,,1126,02/25/2010 12:00:00 AM
"Lazy Ln, 8200 blk - South of Kamar Ln",775,594,,,1369,10/06/2010 12:00:00 AM
"Lazy Oaks Dr, 2600 blk - East of Towering Oaks Dr",,,425,418,843,09/11/2002 12:00:00 AM
"Leafwood Ln, 10700 blk - North of Ashton Ridge",226,221,,,447,12/10/2002 12:00:00 AM
"Lee Barton Drive, 100 blk - South of West Riverside Drive",700,544,,,1244,09/24/2012 12:00:00 AM
"Leland St, 500 blk - West of Brooklyn St",,,577,483,1060,04/11/2001 12:00:00 AM
"Lemen's Spice Trail, 8600 blk - East of Four Iron Dr",,,297,307,604,01/06/2003 12:00:00 AM
"Lemonwood Dr, 5600 blk - East of Sprucewood Dr",,,814,911,1725,10/29/2008 12:00:00 AM
"Lemonwood Dr, 5600 blk - East of Sprucewood Dr",,,743,873,1616,02/23/2012 12:00:00 AM
"Lemonwood Dr, 5600 blk - East of Sprucewood Dr ",,,620,703,1323,02/28/2011 12:00:00 AM
"Leo St, 8500 blk - South of Cameron Loop",2364,2097,,,4461,09/09/2002 12:00:00 AM
"Leo St, 8700 blk - South of Davis Ln",2736,2253,,,4989,12/03/2007 12:00:00 AM
"Libyan Dr, 6300 blk - North of South Trace Dr",261,355,,,616,03/05/2012 12:00:00 AM
"Libyan Dr, 6300 blk - North of Speer Ln",203,289,,,492,09/19/2007 12:00:00 AM
"Lightsey Rd, 1400 blk - West of Dolphin Dr",,,196,131,327,09/17/2009 12:00:00 AM
"Lightsey Rd, 1800 blk - West of Clawson Rd",,,937,932,1869,10/08/2002 12:00:00 AM
"Lightwood Loop, 9300 blk - West of Silkgrass Bend",,,127,128,255,01/23/2008 12:00:00 AM
"Limmerick Ave, 12500 blk - North of Brandywine Ln",252,188,,,440,07/06/2010 12:00:00 AM
"Limoncillo Dr, 9200 blk - West of Topridge Dr",,,186,145,331,01/09/2003 12:00:00 AM
"Lincolnshire Dr, 12000 blk - South of Garnaas Dr (East end)",165,168,,,333,03/17/2003 12:00:00 AM
"Linda Ln, 6500 blk - South of Patton Ln",279,363,,,642,04/21/2001 12:00:00 AM
"Linden St, 300 blk - South of E. 4th St",426,302,,,728,04/13/2004 12:00:00 AM
"Linden St, 400 blk - North of E. 4th St",262,422,,,684,04/13/2004 12:00:00 AM
"Lindshire Ln, 10000 blk - South of Hunnicut Court",1381,1043,,,2424,02/14/2013 12:00:00 AM
"Link Ave, 5700 blk - South of Skyview Rd",47,107,,,154,03/11/2010 12:00:00 AM
"Little Hill Circle, 4500 blk - West of Sherwyn Rd",,,142,133,275,03/12/2002 12:00:00 AM
"Little Hill Circle, 4700 blk - West of Craigwood Dr",,,289,198,487,03/19/2002 12:00:00 AM
"Little Laura Dr, 8700 blk - North of Benbrook Dr",85,92,,,177,05/20/2010 12:00:00 AM
"Little Pebble Dr, 10400 blk - North of Golden Meadow Dr",134,174,,,308,12/05/2007 12:00:00 AM
"Little Texas Ln, 200 blk - East of S. Congress Ave",,,365,341,706,09/17/2001 12:00:00 AM
"Live Oak St East, 1200 blk - West of Schriber St",,,806,1539,2345,04/11/2001 12:00:00 AM
"Live Oak St East, 300 blk - West of Clifton St",,,2779,2536,5315,04/11/2001 12:00:00 AM
"Live Oak St East, 900 blk - West of Travis Heights Blvd",,,2371,2243,4614,04/11/2001 12:00:00 AM
"Live Oak St, 300 blk - East of Wilson St",,,,1099,1099,08/15/2011 12:00:00 AM
"Live Oak St, 400 blk - West of Wilson St ",,,1153,1149,2302,08/15/2011 12:00:00 AM
"Loch Lommond St, 7100 blk - North of Convict Hill Rd",433,484,,,917,02/27/2014 12:00:00 AM
"Lockerbie Dr, 10500 blk - West of Pickfair Dr",,,55,68,123,01/15/2003 12:00:00 AM
"Lockleven Loop, 9000 blk - South of Scotland Well Dr",50,57,,,107,01/09/2003 12:00:00 AM
"Long Bow Ln, 400 blk - West of Carnarvon Ln",,,1359,1011,2370,11/06/2008 12:00:00 AM
"Longspur Blvd E, 100 blk - East of Plover",,,1388,1415,2803,10/10/2013 12:00:00 AM
"Longspur Blvd East, 100 blk - East of Plover Dr",,,1388,1415,2803,10/10/2013 12:00:00 AM
"Longspur Blvd West, 9900 blk - West of Plover Dr",,,1500,1531,3031,06/26/2013 12:00:00 AM
"Longspur Blvd, 100 blk - East of Plover Dr",,,1298,1131,2429,08/31/2005 12:00:00 AM
"Longview St, 2500 blk - South of West 25th St",841,796,,,1637,02/01/2007 12:00:00 AM
"Lookout Mountain Dr, 5900 blk - South of Lookout Mountain Cove",122,123,,,245,12/02/2009 12:00:00 AM
"Loop 1, WSR SB - North of North Hills Dr  ",,4348,,,4348,05/05/2011 12:00:00 AM
"Loop 360, 2900 blk - North of Waymaker Way",24530,23450,,,47980,09/29/2014 12:00:00 AM
"Loring Dr, 10500 blk - West of Weller Dr",,,423,185,608,02/05/2003 12:00:00 AM
"Los Indios Trail, 12300 blk - W. of Los Indios Cove",,,1109,1335,2444,09/24/2003 12:00:00 AM
"Los Indios Trail, 12400 blk - North of Mc Neil Dr",2903,2500,,,5403,06/24/2003 12:00:00 AM
"Lost Horizon, 6500 blk - South of Staghorn Cv ",939,976,,,1915,07/13/2011 12:00:00 AM
"Lott Ave, 1000 blk - North of Chico St",117,219,,,336,11/02/2010 12:00:00 AM
"Lou John St, 2500 blk - West of Ryan Matthews Dr",,,57,64,121,07/06/2010 12:00:00 AM
"Lovell Dr, 2800 blk - West of Chartwell Dr",,,215,213,428,03/03/2010 12:00:00 AM
"Low Bridge Ln, 10900 blk - South of Westerkirk Dr",26,28,,,54,01/09/2003 12:00:00 AM
"Loyola Ln, 2400 blk - East of Roanoke Dr",,,504,615,1119,02/24/2010 12:00:00 AM
"Loyola Ln, 2400 blk - East of Roanoke Dr",,,516,682,1198,02/18/2009 12:00:00 AM
"Loyola Ln, 2600 blk - West of Millikin Cove",,,1153,1555,2708,03/22/2001 12:00:00 AM
"Loyola Ln, 3200 blk - West of Tulane Dr",,,2368,2493,4861,03/22/2001 12:00:00 AM
"Loyola Ln, 5500 blk - West of Millrace Dr",,,6358,7342,13700,06/08/2005 12:00:00 AM
"Loyola Ln, 5500 blk - West of Millrace Dr",,,6533,6529,13062,11/02/2004 12:00:00 AM
"Loyola Ln, 5500 blk - West of Milroace Dr",,,9753,10746,20499,09/30/2013 12:00:00 AM
"Loyola Ln, 5800 blk - West of Crystalbrook Dr",,,6718,7128,13846,06/08/2005 12:00:00 AM
"Loyola Ln, 5800 blk - West of Crystalbrook Dr",,,6106,6442,12548,11/02/2004 12:00:00 AM
"Loyola Ln, 6100 blk - East of Crystalbrook Dr",,,7478,7540,15018,06/08/2005 12:00:00 AM
"Loyola Ln, 6100 blk - East of Crystalbrook Dr",,,6931,6870,13801,11/02/2004 12:00:00 AM
"Loyola Ln, 6400 blk - West of Johnny Morris Rd",,,7540,7530,15070,06/08/2005 12:00:00 AM
"Loyola Ln, 6700 blk - East of Colony Park Dr",,,6396,6524,12920,06/12/2012 12:00:00 AM
"Loyola Ln, 6700 blk - West of Decker Ln",,,5907,5771,11678,12/17/2003 12:00:00 AM
"Loyola Ln, 7200 blk - East of Cielo Vista Dr",,,5342,5951,11293,06/19/2007 12:00:00 AM
"Loyola Ln, 7800 blk - West of Wentworth Dr",,,4178,4500,8678,12/10/2008 12:00:00 AM
"Loyola Ln, 7800 blk - West of Wentworth Dr",,,5091,5018,10109,06/12/2012 12:00:00 AM
"Loyola Ln, 7800 blk - West of Wentworth Dr",,,6367,6322,12689,09/30/2013 12:00:00 AM
"Loyola Ln, 8400 blk - East of Johnny Morris Rd",,,2107,2103,4210,12/17/2003 12:00:00 AM
"Loyola Ln, 8400 blk - West of Decker Lane",,,3105,3517,6622,12/10/2008 12:00:00 AM
"Loyola Ln, 8400 blk - West of Decker Lane",,,4062,4028,8090,06/12/2012 12:00:00 AM
"Lullwood Rd, 4100 blk - North of Wilshire Blvd",54,159,,,213,05/03/2004 12:00:00 AM
"Lunar Dr, 6900 blk - North of Thelma Dr",1209,1287,,,2496,10/05/2011 12:00:00 AM
"Lunar Dr, 7000 blk - South of Thelma Dr ",1218,,,,1218,09/29/2011 12:00:00 AM
"Lunar Dr, 7100 blk - North of Tawny Dr",1017,1099,,,2116,09/19/2007 12:00:00 AM
"Lydia St, 700 blk - North of East 7th St",401,349,,,750,09/27/2005 12:00:00 AM
"Lydia St, 900 blk - North of East 9th St",371,341,,,712,09/27/2005 12:00:00 AM
"Lynnbrook Dr, 2700 blk - West of Finsbury Dr ",,,909,890,1799,03/06/2012 12:00:00 AM
"Lynnbrook Dr, 3000 blk - North of Wardour St",530,615,,,1145,02/26/2013 12:00:00 AM
"Lynnwood St, 4900 blk - North of West 49th St",308,219,,,527,04/23/2008 12:00:00 AM
"Lyons St, 3000 blk - East of Linden St",,,1481,1508,2989,02/24/2014 12:00:00 AM
"Macmora Rd, 10400 blk - South of Pine Knoll Dr",764,749,,,1513,10/06/2008 12:00:00 AM
"Macmora Rd, 10500 blk - East of Topperwein Dr",,,260,243,503,10/06/2008 12:00:00 AM
"Macmora Rd, 10600 blk - West of Golden Quail Dr",,,264,248,512,10/06/2008 12:00:00 AM
"Macmora Rd, 10700 blk - North of Lambert Circle",646,610,,,1256,10/06/2008 12:00:00 AM
"Magazine St, 1700 blk - South of Billem Dr",85,74,,,159,01/14/2008 12:00:00 AM
"Magazine St, 2000 blk - West of Daphne St",,,226,294,520,01/14/2008 12:00:00 AM
"Maine Dr, 8400 blk - North of Jamestown Dr",208,180,,,388,05/18/2010 12:00:00 AM
"Maine Dr, 8400 blk - North of Jamestown Dr",224,171,,,395,02/10/2005 12:00:00 AM
"Maine Dr, 8400 blk - South of Clearfield Dr",243,191,,,434,09/12/2007 12:00:00 AM
"Maine Dr, 8500 blk - North of Plymouth Dr",341,250,,,591,05/18/2010 12:00:00 AM
"Maine Dr, 8500 blk - North of Plymouth Dr",396,271,,,667,03/04/2008 12:00:00 AM
"Mairo St, 400 blk - East of Criswood Place",,,531,226,757,02/26/2013 12:00:00 AM
"Manassas Dr, 7700 blk - East of Seminary Ridge Dr",,,845,870,1715,02/08/2005 12:00:00 AM
"Manassas Dr, 7700 blk - East of Seminary Ridge Dr",,,985,947,1932,09/09/2002 12:00:00 AM
"Manassas Dr, 7800 blk - West of Gaines Mill Ln",,,746,785,1531,02/08/2005 12:00:00 AM
"Manassas Dr, 7800 blk - West of Gaines Mill Ln",,,823,744,1567,09/09/2002 12:00:00 AM
"Manassas Dr, 8000 blk - North of Stone River Dr",298,401,,,699,09/09/2002 12:00:00 AM
"Manassas Dr, 8100 blk - North of Shiloh Dr",274,325,,,599,02/08/2005 12:00:00 AM
"Manassas Dr, 8100 blk - North of Shiloh Dr",273,376,,,649,09/09/2002 12:00:00 AM
"Manchaca Rd, 11300 blk - South of Ravenscroft Dr",7785,7869,,,15654,01/11/2005 12:00:00 AM
"Manchaca Rd, 11400 blk - South of Marcus Abrams Blvd",7633,7596,,,15229,01/11/2005 12:00:00 AM
"Manchaca Rd, 3700 blk - South of Valley View Rd",9302,8273,,,17575,10/05/2004 12:00:00 AM
"Manchaca Rd, 4000 blk - South of Prather Ln",9142,8173,,,17315,03/21/2013 12:00:00 AM
"Manchaca Rd, 6800 blk - North of Wm Cannon",13183,13042,,,26225,07/01/2008 12:00:00 AM
"Manchaca Rd, 6900 blk - South of Wm Cannon",15615,16643,,,32258,07/01/2008 12:00:00 AM
"Manchaca Rd, 7100 blk - South of Wm Cannon",15980,15188,,,31168,02/07/2007 12:00:00 AM
"Manchaca Rd, 8000 blk - South of Shiloh Dr",12980,12822,,,25802,01/22/2003 12:00:00 AM
"Manchaca Rd, 8100 blk - North of Shiloh Dr",14279,14336,,,28615,04/17/2012 12:00:00 AM
"Manchaca Rd, 8400 blk - North of Shawnee Mission Trl",13306,13523,,,26829,05/01/2008 12:00:00 AM
"Manchaca Rd, 8900 blk - South of Davis Ln",12452,12099,,,24551,05/01/2008 12:00:00 AM
"Mandeville Circle (south), 9800 blk - East of Spicewood Club Dr",,,75,64,139,11/25/2002 12:00:00 AM
"Manor Rd, 1600 blk - West of Leona St",,,4007,2067,6074,12/05/2002 12:00:00 AM
"Manor Rd, 2200 blk - West of Coleta St",,,6018,5883,11901,03/05/2008 12:00:00 AM
"Manor Rd, 2200 blk - West of Coleta St",,,5281,5619,10900,12/05/2002 12:00:00 AM
"Manor Rd, 2500 blk - West of Stafford St",,,4570,4814,9384,12/05/2002 12:00:00 AM
"Manor Rd, 2600 blk - East of Roundtree St",,,4459,5125,9584,02/18/2010 12:00:00 AM
"Manor Rd, 2600 blk - East of Stafford St",,,4723,4635,9358,11/18/2003 12:00:00 AM
"Manor Rd, 2700 blk - West of Larry Ln",,,4052,4297,8349,09/29/2003 12:00:00 AM
"Manor Rd, 2800 blk - West of Randolph Rd",,,4379,4969,9348,03/05/2008 12:00:00 AM
"Manor Rd, 3200 blk - West of Tillery St",,,2961,3489,6450,02/18/2010 12:00:00 AM
"Manor Rd, 3500 blk - East of Greenwood Ave",,,3624,3969,7593,03/05/2008 12:00:00 AM
"Manor Rd, 3500 blk - West of Berkman Dr",,,3584,4251,7835,03/21/2013 12:00:00 AM
"Manor Rd, 3700 blk - East of Berkman Dr",,,3819,4378,8197,03/21/2013 12:00:00 AM
"Manor Rd, 4300 blk - East of Pershing",,,3551,3805,7356,05/11/2009 12:00:00 AM
"Manor Rd, 5200 blk - North of E 51st St",3917,4135,,,8052,03/03/2010 12:00:00 AM
"Manor Rd, 5400 blk - North of Wellington Dr",4401,5110,,,9511,01/14/2003 12:00:00 AM
"Manor Rd, 5700 blk - North of Rogge Ln",4474,5000,,,9474,02/24/2010 12:00:00 AM
"Manor Rd, 5700 blk - North of Rogge Ln",4619,5137,,,9756,02/18/2009 12:00:00 AM
"Manor Rd, 5700 blk - North of Rogge Ln",4280,4763,,,9043,07/23/2013 12:00:00 AM
"Maple Ave, 2000 blk - East of East 21st St",,,239,222,461,01/23/2013 12:00:00 AM
"Maplewood Ave, 3800 blk - North of E. 38 1/2 St",694,599,,,1293,09/25/2002 12:00:00 AM
"Marathon Blvd, 4300 blk - South of West 44th St",585,277,,,862,04/23/2008 12:00:00 AM
"Marcus Abrams Blvd, 1700 blk - West of Manchaca Rd",,,596,687,1283,01/11/2005 12:00:00 AM
"Mariposa Dr, 110 blk - East of Kenwood Ave",,,426,567,993,05/17/2001 12:00:00 AM
"Mariposa Dr, 1300 blk - West of Farmers Dr",,,416,581,997,04/02/2001 12:00:00 AM
"Marsh Dr, 9100 blk - North of Wilcrest Dr",383,400,,,783,09/19/2007 12:00:00 AM
"Martin Luther King Jr Blvd East, 1600 blk - West of Leona St",,,6934,7456,14390,08/03/2005 12:00:00 AM
"Martin Luther King Jr Blvd East, 200 blk - West of San Jacinto Blvd",,,12915,12249,25164,08/03/2005 12:00:00 AM
"Martin Luther King Jr Blvd East, 2500 blk - West of Cedar Ave",,,6812,7491,14303,11/16/2006 12:00:00 AM
"Martin Luther King Jr Blvd East, 2800 blk - East of Ulit Ave",,,6534,6921,13455,08/03/2005 12:00:00 AM
"Martin Luther King Jr Blvd East, 600 blk - East of Red River St",,,12217,13807,26024,01/31/2011 12:00:00 AM
"Martin Luther King Jr Blvd East, 600 blk - East of Red River St",,,14424,15632,30056,04/08/2009 12:00:00 AM
"Martin Luther King Jr Blvd East, 7400 blk - West of Sendero Hills Pkwy",,,9378,9834,19212,11/01/2004 12:00:00 AM
"Martin Luther King Jr Blvd West, 1100 blk - East of N. Lamar Blvd",,,5963,7858,13821,10/29/2002 12:00:00 AM
"Martin Luther King Jr Blvd West, 900 blk - West of Pearl St",,,7468,8679,16147,10/29/2002 12:00:00 AM
"Martin Luther King Jr Blvd West, 900 blk - West of Pearl St ",,,6102,7654,13756,06/28/2005 12:00:00 AM
"Martin Luther King, Jr Blvd East, 700 blk - @IH35 WSR",,,12399,11103,23502,05/18/2006 12:00:00 AM
"Mary St West, 1200 blk - At the Railroad Tracks",,,2432,2332,4764,11/02/2009 12:00:00 AM
"Mary St West, 300 blk - West of Newton St",,,1868,1547,3415,10/03/2007 12:00:00 AM
"Mary St West, 400 blk - West of Newton St",,,1520,1167,2687,11/06/2008 12:00:00 AM
"Marybank Dr, 9100 blk - East of Scotland Well Dr",,,207,180,387,12/16/2002 12:00:00 AM
"Mason Dells, 2600 blk - West of Midbury Ct",,,824,792,1616,02/07/2011 12:00:00 AM
"Mason Dells, 2600 blk - West of Midbury Ct ",824,792,,,1616,02/07/2011 12:00:00 AM
"Masterson Pass, 200 blk - West of Garrett Run",,,2334,1701,4035,05/05/2008 12:00:00 AM
"Mathews Dr, 2200 blk - South of Windsor Rd",121,154,,,275,02/03/2003 12:00:00 AM
"Mathews Ln, 2007 - West of Manchaca Rd",,,696,844,1540,09/10/2002 12:00:00 AM
"Mathews Ln, 2200 blk - East of Grigsby Dr",,,517,624,1141,09/10/2002 12:00:00 AM
"Matthews Ln, 1600 blk - At the Railroad Tracks",,,1988,1917,3905,11/03/2009 12:00:00 AM
"Matthews Ln, 2100 blk - East of Lilac Ln",,,818,879,1697,05/20/2002 12:00:00 AM
"Mauai Dr, 8200 blk - South of Tula Cove",101,97,,,198,02/07/2011 12:00:00 AM
"McCall Ln, 3100 blk - North of Seeling Dr",367,459,,,826,03/29/2010 12:00:00 AM
"McCall Rd, 1900 blk - Eorth of Griswold",167,92,,,259,01/16/2013 12:00:00 AM
"McCallen Pass, 12600 blk - North of Canyon Ridge Dr",,,2066,2429,4495,01/31/2007 12:00:00 AM
"McCallen Pass, 12700 blk - South of Parmer Ln",2509,2303,,,4812,01/22/2002 12:00:00 AM
"McCallen Pass, 12800 blk - North of Parmer Ln",3042,3741,,,6783,01/30/2002 12:00:00 AM
"McCallen Pass, 13400 blk - North of Center Ridge Dr",3759,3200,,,6959,01/22/2002 12:00:00 AM
"McCandless St, 5300 blk - North of North Loop Blvd",151,158,,,309,10/01/2013 12:00:00 AM
"McCandless St, 5300 blk - North of North Loop Blvd",151,158,,,309,10/01/2013 12:00:00 AM
"McCann Dr, 8800 blk - North of Thrushwood Dr",878,1015,,,1893,05/20/2010 12:00:00 AM
"McCullough St, 2600 blk - West of Spring Lln",280,259,,,539,10/11/2005 12:00:00 AM
"McKinley Avenue, 1200 blk - North of East 12th St",348,418,,,766,09/13/2007 12:00:00 AM
"McKinney Falls Pkwy, 3400 blk - West of McCall Ln",2261,3629,,,5890,07/26/2005 12:00:00 AM
"McKinney Falls Pkwy, 4100 blk - North of Burleson Rd",,,2408,3766,6174,07/26/2005 12:00:00 AM
"McNeil - Merrilltown Rd, 13800 blk - North of Howard Ln ",851,784,,,1635,01/21/2003 12:00:00 AM
"McNeil - Merrilltown Rd, 14500 blk - West of Burnet Rd  (FM1325)",580,365,,,945,01/21/2003 12:00:00 AM
"McNeil Dr, 5100 blk - West of McNeil Rd / W. Howard Ln",,,12668,12864,25532,12/08/2003 12:00:00 AM
"McNeil Dr, 6100 blk - West of Parmer Ln",,,15602,14548,30150,08/26/2003 12:00:00 AM
"McNeil Dr, 6500 blk - West of Blackfoot Trail",,,16204,15068,31272,08/27/2003 12:00:00 AM
"McNeil Dr, 7100 blk - West of Oakmont St",,,16207,14881,31088,08/27/2003 12:00:00 AM
"McNeil Dr, 9400 blk - North of Roundabout",3088,3139,,,6227,09/23/2014 12:00:00 AM
"McNeil Rd, 13600 blk - North of McNeil Dr / W. Howard Ln",6104,6181,,,12285,12/08/2003 12:00:00 AM
